Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WASH5P	WASH5P	chr19	-	60951	70966	0.000000	0.000000	0.000000
DDX11L1	DDX11L1	chr1	+	11874	14409	0.000000	0.000000	0.000000
WASH7P	WASH7P	chr1	-	14362	29370	0.033079	0.040868	0.073168
MIR6859-1	MIR6859-1	chr1	-	17369	187958	0.000000	0.000000	0.000000
MIR6859-2	MIR6859-2	chr1	-	17369	187958	0.000000	0.000000	0.000000
MIR6859-3	MIR6859-3	chr1	-	17369	187958	0.000000	0.000000	0.000000
MIR6859-4	MIR6859-4	chr1	-	17369	187958	0.000000	0.000000	0.000000
MIR1302-10	MIR1302-10	chr1	+	30366	30503	0.000000	0.000000	0.000000
MIR1302-11	MIR1302-11	chr1	+	30366	30503	0.000000	0.000000	0.000000
MIR1302-2	MIR1302-2	chr1	+	30366	30503	0.000000	0.000000	0.000000
MIR1302-9	MIR1302-9	chr1	+	30366	30503	0.000000	0.000000	0.000000
FAM138A	FAM138A	chr1	-	34611	36081	0.000000	0.000000	0.000000
FAM138C	FAM138C	chr1	-	34611	36081	0.000000	0.000000	0.000000
FAM138F	FAM138F	chr1	-	34611	36081	0.000000	0.000000	0.000000
OR4F5	OR4F5	chr1	+	69091	70008	0.000000	0.000000	0.000000
LOC729737	LOC729737	chr1	-	134773	140566	0.000000	0.000000	0.000000
DDX11L17	DDX11L17	chr1	+	182388	184878	0.000000	0.000000	0.000000
FAM138D	FAM138D	chr1	-	205129	206597	0.0	0.0	0.0
OR4F16	OR4F16	chr1	-	450740	451678	0.0	0.0	0.0
OR4F29	OR4F29	chr1	-	450740	451678	0.0	0.0	0.0
OR4F3	OR4F3	chr1	-	450740	451678	0.0	0.0	0.0
LOC100132062	LOC100132062	chr1	-	490756	495445	0.0	0.0	0.0
LOC100132287	LOC100132287	chr1	-	490756	495445	0.0	0.0	0.0
LOC101928626	LOC101928626	chr1	-	627380	629009	0.0	0.0	0.0
MIR12136	MIR12136	chr1	-	632615	632685	2.105634	2.601472	4.657496
OR4F16	OR4F16	chr1	-	685716	686654	0.000000	0.000000	0.000000
OR4F29	OR4F29	chr1	-	685716	686654	0.000000	0.000000	0.000000
OR4F3	OR4F3	chr1	-	685716	686654	0.000000	0.000000	0.000000
LOC100288069	LOC100288069	chr1	-	725759	778634	0.019952	0.024650	0.044132
FAM87B	FAM87B	chr1	+	817371	819834	0.000000	0.000000	0.000000
LINC00115	LINC00115	chr1	-	826206	827522	1.026402	1.268101	2.270320
LINC01128	LINC01128	chr1	+	827591	859446	0.000000	0.000000	0.000000
FAM41C	FAM41C	chr1	-	868071	876802	0.0	0.0	0.0
LINC02593	LINC02593	chr1	-	916818	919692	0.000000	0.000000	0.000000
LOC107985728	LOC107985728	chr1	-	920243	925604	0.000000	0.000000	0.000000
SAMD11	SAMD11	chr1	+	923923	944574	0.157164	0.207555	0.371592
NOC2L	NOC2L	chr1	-	944203	959256	18.084084	22.342554	40.000568
KLHL17	KLHL17	chr1	+	960584	965719	1.518647	1.876260	3.359128
PLEKHN1	PLEKHN1	chr1	+	966482	975865	0.028020	0.034618	0.061978
PERM1	PERM1	chr1	-	975198	982093	0.000000	0.000000	0.000000
HES4	HES4	chr1	-	998964	1000097	0.423676	0.523444	0.937138
ISG15	ISG15	chr1	+	1013497	1014539	37.693394	46.569496	83.374817
AGRN	AGRN	chr1	+	1020120	1056114	0.588935	0.854006	1.528953
LOC100288175	LOC100288175	chr1	+	1059734	1066453	0.000000	0.000000	0.000000
LOC105378948	LOC105378948	chr1	-	1065635	1069337	0.000000	0.000000	0.000000
